INFO [2015-08-06 12:03:52,991] mylogger:./sch.py [line 84] [program finished...]
INFO [2015-08-06 12:03:56,283] mylogger:./sch.py [line 79] [path_file :0./data/test_1.dat]
INFO [2015-08-06 12:03:56,283] mylogger:./sch.py [line 82] [running...]
INFO [2015-08-06 12:03:56,285] mylogger:./sch.py [line 84] [program finished...]
INFO [2015-08-06 12:03:56,285] mylogger:./sch.py [line 79] [path_file :0./data/test_2.dat]
INFO [2015-08-06 12:03:56,286] mylogger:./sch.py [line 82] [running...]
INFO [2015-08-06 12:03:56,286] mylogger:./sch.py [line 84] [program finished...]
INFO [2015-08-06 13:16:01,741] mylogger:./sch.py [line 79] [path_file :0./data/test_1.dat]
INFO [2015-08-06 13:16:01,741] mylogger:./sch.py [line 82] [running...]
INFO [2015-08-06 13:16:01,742] mylogger:./sch.py [line 84] [program finished...]
INFO [2015-08-06 13:16:01,742] mylogger:./sch.py [line 79] [path_file :0./data/test_2.dat]
INFO [2015-08-06 13:16:01,742] mylogger:./sch.py [line 82] [running...]
INFO [2015-08-06 13:16:01,744] mylogger:./sch.py [line 84] [program finished...]
INFO [2015-08-06 13:16:37,155] mylogger:./sch.py [line 79] [path_file :0./data/test_1.dat]
INFO [2015-08-06 13:16:37,155] mylogger:./sch.py [line 82] [running...]
INFO [2015-08-06 13:16:37,156] mylogger:./sch.py [line 84] [program finished...]
INFO [2015-08-06 13:16:37,156] mylogger:./sch.py [line 79] [path_file :0./data/test_2.dat]
INFO [2015-08-06 13:16:37,156] mylogger:./sch.py [line 82] [running...]
INFO [2015-08-06 13:16:37,160] mylogger:./sch.py [line 84] [program finished...]
INFO [2015-08-06 13:18:22,501] mylogger:./sch.py [line 75] [path_file :0./data/test_1.dat]
INFO [2015-08-06 13:18:22,504] mylogger:./sch.py [line 78] [running...]
INFO [2015-08-06 13:18:22,504] mylogger:./sch.py [line 80] [program finished...]
INFO [2015-08-06 13:18:22,505] mylogger:./sch.py [line 75] [path_file :0./data/test_2.dat]
INFO [2015-08-06 13:18:22,505] mylogger:./sch.py [line 78] [running...]
INFO [2015-08-06 13:18:22,505] mylogger:./sch.py [line 80] [program finished...]
